BTCDR,ETFDR,GOLDDR,CRYPTDR,FBE,FFL,TBE
0.053306369,-8.27E-05,-0.007298691,,0.005847953,0.01171875,0.004672897
0.016602873,0.01256721,0.010149445,,-0.005813953,-0.011583012,-0.004651163
-0.008438257,-0.022046248,-0.017009494,,-0.022727273,-0.0078125,0.004672897
0.013296216,0.002671779,0.006841046,,0.023255814,0.007874016,-0.004651163
0.003205128,0.003414117,0.002930989,,0.003891051,0.002604167,0
-0.008659828,0.003402501,0.002922423,,0.00390625,0.002597402,0
-0.00186583,0.003390963,0.002913907,,0.003921569,0.002590674,0
0.00501317,-0.002720096,-0.009270998,,-0.039548023,-0.034883721,-0.004672897
-0.019384994,0.002479569,0.003359194,,-0.005617978,0.004016064,0.004694836
-0.037393307,-0.00041226,0.001594261,,-0.021978022,0,0.009345794
-0.088478024,0.007670736,0.002228412,,0.028248588,0.036,0.009259259
-0.054014599,0.002046329,0.004685143,,-0.003752345,0,0.001529052
0.013325024,0.00204215,0.004663294,,-0.003738317,0,0.001526718
-0.002738322,0.002037988,0.004641649,,-0.003724395,0,0.00152439
-0.013009706,0.011714961,0.003915427,,-0.005555556,-0.003861004,0
-0.030423851,0.000562874,0.005850234,,-0.016393443,0.003875969,0.00913242
-0.071318971,0.00851883,0.005040713,,0.033898305,-0.007722008,-0.018099548
0.093764457,0.013228178,0.018518519,,0.05988024,0.031128405,-0.004608295
-0.016722307,0.000491545,0.001893939,,-0.017647059,-0.01509434,-0.002314815
-0.052679285,0.000491304,0.001890359,,-0.01734104,-0.01532567,-0.002320186
0.015633362,0.000491063,0.001886792,,-0.017045455,-0.015564202,-0.002325581
0.000526929,0.000490822,-0.005047081,,-0.016759777,-0.015810277,-0.002331002
-0.005697415,-0.008869741,-0.000227135,,0.005617978,-0.004016064,-0.004672897
-0.107362406,0.010532993,-0.003180613,,0,0,0
0.032401913,-0.000156708,0.005317937,,0.022988506,0.008064516,-0.004694836
0.054444754,0.003683971,0.002896798,,-0.007604563,0.005333333,0.006289308
0.000660698,0.003670449,0.002888431,,-0.00754717,0.00530504,0.00625
-0.098213991,0.003657026,0.002880112,,-0.007490637,0.005277045,0.00621118
