Date,Open,High,Low,Close,Volume,Market Cap,,,
Apr-03-2015,253.005,256.043,251.879,254.321,26836771.33,3557383600,,,
Apr-02-2015,247.272,254.461,245.416,253.024,23836645.45,3480979025,,,
Apr-01-2015,244.224,247.541,241.16,247.289,21983263.75,3418916255,,,
Mar-31-2015,247.526,248.73,242.739,244.14,21904602.11,3438435977,,,
Mar-30-2015,242.713,249.242,239.214,247.657,22727267.91,3443189915,,,
Mar-29-2015,252.798,253.139,240.85,242.637,17790287.59,3442820923,,,
Mar-28-2015,247.029,254.205,246.975,252.89,16767115.09,3520293108,,,
Mar-27-2015,248.532,256.811,245.213,247.066,23357474.31,3469568009,,,
Mar-26-2015,246.197,254.354,244.905,248.482,28722047.92,3489332996,,,
Mar-25-2015,245.595,249.19,236.515,246.081,42491392.68,3452905572,,,
Mar-24-2015,266.74,267.003,244.155,245.055,29283736.11,3581788538,,,
Mar-23-2015,267.96,277.297,261.745,266.682,21315790.63,3737938209,,,
Mar-22-2015,260.025,269.747,259.59,267.969,14600921.18,3656061085,,,
Mar-21-2015,261.749,262.196,255.65,260.018,17798787.06,3626064752,,,
Mar-20-2015,260.928,264.848,259.162,261.829,36421799.65,3649280537,,,
Mar-19-2015,256.299,264.244,248.636,260.741,62116360.98,3590837683,,,
Mar-18-2015,285.505,285.505,249.87,256.65,33585634.49,3818495508,,,
Mar-17-2015,290.593,292.365,284.374,285.465,19390672.92,4037272316,,,
Mar-16-2015,286.393,294.112,285.685,290.524,18391076.74,4050604087,,,
Mar-15-2015,281.885,286.529,280.996,285.607,14843439.93,3956577508,,,
Mar-14-2015,285.337,286.342,280.976,282.24,29209395.45,3940569170,,,
Mar-13-2015,294.354,294.498,286.526,286.526,30383695.82,4052982445,,,
Mar-12-2015,296.379,297.088,292.413,294.727,33172506.25,4099160729,,,
Mar-11-2015,291.76,297.391,290.508,296.468,50939541.11,4090887984,,,
Mar-10-2015,289.607,300.044,289.607,291.696,69603594.41,4094007957,,,
Mar-09-2015,274.354,292.701,273.893,289.861,34566001.4,3930858676,,,
Mar-08-2015,276.261,277.858,272.565,274.383,19532804.86,3831230014,,,
Mar-07-2015,272.723,277.854,270.133,276.18,22026182.87,3796753544,,,
Mar-06-2015,276.178,277.608,270.015,272.6,38645388.89,3792884208,,,
Mar-05-2015,273.092,281.667,264.769,275.968,40100308.68,3764445004,,,
Mar-04-2015,281.99,284.225,268.126,273.457,45789361.65,3885585959,,,
Mar-03-2015,275.67,285.796,268.161,281.702,44364694.69,3809944817,,,
Mar-02-2015,260.202,276.301,258.313,275.598,32971381.94,3650683204,,,
Mar-01-2015,254.263,261.66,245.933,260.371,13746793.75,3496305652,,,
Feb-28-2015,253.52,254.692,249.479,254.274,25485243.26,3504279976,,,
Feb-27-2015,236.426,256.653,236.426,253.828,30844405.95,3468357831,,,
Feb-26-2015,237.47,237.71,234.257,236.558,13091257.99,3281945193,,,
Feb-25-2015,238.735,239.34,235.53,237.38,13415927.08,3300354800,,,
Feb-24-2015,238.892,239.901,236.402,238.79,16175405.92,3307160808,,,
Feb-23-2015,235.977,240.109,232.421,238.702,17710039.58,3276519000,,,
